uid	time	tags	text
Pennystocks24	1337159197	stocks,pennystock	$gwbu promoted by  pennystocks 123 at  may 15 20 04 58 edt pennystock stocks pennystock s
Pennystocks24	1337159191	stocks,pennystock	$gwbu promoted by  pennystocks insiders at  may 15 20 02 37 edt pennystock stocks pennystock s
Pennystocks24	1337159185	stocks,pennystock	$gwbu promoted by  awesome penny stocks at  may 15 20 02 08 edt pennystock stocks pennystock s
Pennystocks24	1337159180	stocks,pennystock	$gwbu promoted by  victory stocks at  may 15 20 02 07 edt pennystock stocks pennystock s
Pennystocks24	1337159174	stocks,pennystock	$gwbu promoted by  gladiator stocks at  may 15 20 02 07 edt pennystock stocks pennystock s
Pennystocks24	1337159168	stocks,pennystock	$gwbu promoted by  pennystock alley at  may 15 20 02 07 edt pennystock stocks pennystock s
Pennystocks24	1337159162	stocks,pennystock	$gwbu promoted by  penny pic at  may 15 20 00 03 edt pennystock stocks pennystock s
stocksmarket_in	1337159151	stockmarket,stocks,shares	stockmarket graffiti - wholecar - keep6 sdk http://t.co/j9N9oTMU stocks shares
stocksmarket_in	1337159110	stockmarket,stocks,shares	stockmarket buy sterlite technologies tgt rs 46 padmakshi financial http://t.co/NJYZ2T91 stocks shares
stocksmarket_in	1337159087	stockmarket,stocks,shares	stockmarket copper hits 4-month low as eu concerns mount http://t.co/SVXQb9W1 stocks shares
tradepips	1337159068	mkt,stocks,charts	$tocktwit$ stocktwits  stacking the deck in a high flying mortgage reit http://t.co/R1XQnXj     http://t.co/6MXSsCag stocks mkt charts
tradepips	1337159068	mkt,stocks,charts	$tocktwit$ stocktwits  american apparel thesis blossoming http://t.co/yTiYIWap via @BiggerC     http://t.co/sB9ArSg7 stocks mkt charts
stocksmarket_in	1337159058	stockmarket,stocks,shares	stockmarket no virginia there is no sanity clause in obama drilling permit policy http://t.co/hLQG2E1N stocks shares
stocksmarket_in	1337159017	stockmarket,stocks,shares	stockmarket trai issues notice to channels restricting ad time http://t.co/kR9NF4Kh stocks shares
fixedratebonds	1337158944	stocks,pennystock	http://t.co/tmCzEyY5 hong kong stocks slump 2% amid greece worries pennystock stocks pennystock s http://t.co/cGZTTNtA
IsabelSignals	1337158942	pfizer,stocks,dowjones	isabel is long on pfizer at dowjones   our profit -2 68%  target price $23 78  more trade signals? http://t.co/Dol8bZdF stocks
x_stocks	1337158875	stocks,trading	obama has assets in jpmorgan accounts  white house trading stocks http://t.co/nprR80eq
SMFStocks	1337158835	stocks,hft,options	@TradeEducation ultra high frequency trading platform http://t.co/0R6EjQss hft stocks options
dow_live	1337158805	stocks,dow	dow live  12632 00 its -63 35 points down technical analysis stocks at http://t.co/485Hp6Qn dow stocks
Pennystocks24	1337158802	stocks,pennystock	$gwbu promoted by  stock announcements at  may 15 19 58 19 edt pennystock stocks pennystock s
tanaishaa	1337158674	trading,india,stocks,markets,investment	how much worse can the markets get? stocks trading http://t.co/I1Q2Wfjd india investment
STOCKSTIPS	1337158658	bse,tips,stocks	negidude26  buy tata motors ltd above 292 60 target 300 00 for intraday stocks tips bse
STOCKSTIPS	1337158657	bse,tips,stocks	negidude26  sell cipla ltd below 321 40 target 316 00 for intraday stocks tips bse
STOCKSTIPS	1337158657	bse,tips,stocks	negidude26  sell jet airways  india  ltd below 286 00 target 279 00 for intraday stocks tips bse
STOCKSTIPS	1337158657	bse,tips,stocks	negidude26  buy adani power ltd above 52 00 target 59 00 for 2 weeks stocks tips bse
livesensexstock	1337158586	sensex,bse,stocks	sensex live   16328 25 change 112 41  0 69 %  nifty options trading strategies at http://t.co/lpSZXDMX sensex bse stocks
Paul_Schatz	1337158533	stockmarket,stocks	here’s the interview i did the folks at et now  http://t.co/mz2I8ALU stocks stockmarket
Paul_Schatz	1337158515	stockmarket,stocks	now jp morgan is in the unenviable position of being at the other end of that spectrum  stocks stockmarket
Paul_Schatz	1337158497	stockmarket,stocks	first apple was all the rage in a positive light   and we saw story after story  stocks stockmarket
carbonfiberxrm	1337158485	stocks	stocks 19hrs left for my  2 cent high flyer  did you reply back? http://t.co/pYiVwWBl http://t.co/u1MYshJb
Pennystocks24	1337158448	stocks,pennystock	$omve promoted by  too nice stocks at  may 15 19 53 41 edt pennystock stocks pennystock s
Pennystocks24	1337158442	stocks,pennystock	$gwbu promoted by  free penny alerts at  may 15 19 48 42 edt pennystock stocks pennystock s
fixedratebonds	1337158146	stocks,pennystock	http://t.co/tmCzEyY5 facebook ups ipo size by 85 million shares  report pennystock stocks pennystock s http://t.co/M541qrW1
GregWHoward	1337158100	p2,finance,tcot,money,ocra,stocks	ford  gms facebook ads dont work because gm sucks -- ours work fine http://t.co/4EyEhVp4 tcot p2 ocra money finance stocks
nasdaq_live	1337158099	nasdaq,stocks	nasdaq live  2893 76 its -8 82 points down best penny stock to buy at http://t.co/zKidJ0U0 nasdaq stocks
Pennystocks24	1337158094	stocks,pennystock	$gwbu promoted by  penny stocks expert at  may 15 19 45 53 edt pennystock stocks pennystock s
fixedratebonds	1337158089	stocks,pennystock	hang seng index tumbles 1 6% in opening minutes pennystock stocks pennystock s http://t.co/NWxoZP8a
Pennystocks24	1337158088	stocks,pennystock	$gwbu promoted by  free investment report at  may 15 19 43 14 edt pennystock stocks pennystock s
Pennystocks24	1337158082	stocks,pennystock	$gwbu promoted by  the ox of wallstreet at  may 15 19 43 14 edt pennystock stocks pennystock s
GregWHoward	1337157999	p2,finance,tcot,money,ocra,stocks	stocks fall greece gets crushed again  heres what you need to know http://t.co/WKfKWgMJ tcot p2 ocra money finance stocks
GregWHoward	1337157886	p2,finance,tcot,money,ocra,stocks	bofa  the ichimoku clouds signal a storm may be coming for the stock market http://t.co/e7KDdK3T tcot p2 ocra money finance stocks
ivorybullapps	1337157759	stocks	rt @marketdelta   heat map showing sector performance today  $xlb and $xle led the weakness  stocks http://t.co/qOg9NWXu
IsabelSignals	1337157742	stocks,ibm,dowjones	isabel is long on ibm at dowjones   our profit -0 22%  target price $213 62  more trade signals? http://t.co/Dol8bZdF stocks
Pennystocks24	1337157722	stocks,pennystock	$gwbu promoted by  explicitpennypicks at  may 15 19 39 08 edt pennystock stocks pennystock s
fixedratebonds	1337157694	stocks,pennystock	http://t.co/tmCzEyY5 australian dollar outlook - 05/16/2012 pennystock stocks pennystock s http://t.co/CtotBnmn
TonyStreet216	1337157674	stocks	“ @dbertauche   facebook increases share size offering by 25% http://t.co/dOucVUAj stocks ”
STOCKSTIPS	1337157664	bse,tips,stocks	negidude26  sell united phosphorus ltd below 115 00 target 105 00 for 5 days stocks tips bse
STOCKSTIPS	1337157663	bse,tips,stocks	negidude26  buy godrej industries ltd below 234 00 target 245 00 for 5 days stocks tips bse
whiteshot	1337157618	stocks,finance,tcot,twcot,redeye,news,world,debt	europe is fubar ~ @PolitiJim s rants for reasonable people |  http://t.co/B3bERdYl ~ finance debt stocks world news twcot tcot redeye
Pennystocks24	1337157374	stocks,pennystock	$gwbu promoted by  penny stocks universe at  may 15 19 35 58 edt pennystock stocks pennystock s
Pennystocks24	1337157368	stocks,pennystock	$gwbu promoted by  secret pennystocks at  may 15 19 34 02 edt pennystock stocks pennystock s
Pennystocks24	1337157362	stocks,pennystock	$gwbu promoted by  hot otcs at  may 15 19 34 02 edt pennystock stocks pennystock s
dbertauche	1337157286	stockmarket,stocks,facebook,momentum	f-book increases share size offering by 25% facebook frenzy http://t.co/ki4whrFB stockmarket momentum stocks
dow_live	1337156942	stocks,dow	dow live  12632 00 its -63 35 points down what is stock market at http://t.co/9sY0xNoz dow stocks
TOPinMarkets	1337156925	stocks	singapore stocks-may fall on greece concerns  singapore shares are likely to fall on wednesday following    http://t.co/aCasgL3z stocks
fixedratebonds	1337156915	stocks,pennystock	http://t.co/tmCzEyY5 etfs and a calif  muni storm pennystock stocks pennystock s http://t.co/DkkklyO6
dnzStockInvest	1337156822	job,stocks,investment	stocks investment job - j2ee lead expert - http://t.co/8RDQVB1M job s
livesensexstock	1337156738	sensex,bse,stocks	sensex live   16328 25 change 112 41  0 69 %  share stock market at http://t.co/5b5h4C0D sensex bse stocks
Tradesight	1337156730	trading,stocks,markets,oil	markets index preview for wednesday read here  http://t.co/ZqvmDQwX trading stocks oil
STOCKSTIPS	1337156655	bse,tips,stocks	harikumarktda  buy suzlon energy ltd above 20 00 target 21 00 for 5 days stocks tips bse
IsabelSignals	1337156542	stocks,homedepot,dowjones	isabel is short on homedepot at dowjones   our profit 2 87%  target price $36 39  more trade signals? http://t.co/Dol8bZdF stocks
fixedratebonds	1337156492	stocks,pennystock	http://t.co/tmCzEyY5 australian stocks fall with miners weak pennystock stocks pennystock s http://t.co/Lc4e7pxQ
fixedratebonds	1337156433	stocks,pennystock	australias s&p/asx200 opens down 0 9% at 4227 10 pennystock stocks pennystock s http://t.co/NWxoZP8a
macktrader	1337156378	mkt,stocks,worden	closing print with options profits http://t.co/K2i0EDVA mkt stocks worden
traddrtweets	1337156378	mkt,stocks,worden	closing print with options profits http://t.co/7a8IjQfQ mkt stocks worden
maxwalters	1337156378	mkt,stocks,worden	closing print with options profits http://t.co/DCaUA7cO mkt stocks worden
fatmattbrown	1337156378	mkt,stocks,worden	closing print with options profits http://t.co/rd6UHNcE mkt stocks worden
howdytweet	1337156378	mkt,stocks,worden	closing print with options profits http://t.co/Fq7hqxLr mkt stocks worden
fixedratebonds	1337156373	stocks,pennystock	asia markets  asia stocks drop as greek political crisis deepens pennystock stocks pennystock s http://t.co/oTQsLmQT
Ayannadxr	1337156359	stocks,pennystocks	after meeting with merkel hollande pushes for growth  new french president francois hollande urged the regions    pennystocks stocks
